FL_DATE,AIRLINE,DEST_CITY,DEP_TIME,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLATION_CODE,ELAPSED_TIME,AIR_TIME,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_LATE_AIRCRAFT
17-08-2020,Republic Airline,"Detroit, MI",1801,8,13,1914,-14,,73,52,,,
15-10-2021,Envoy Air,"Chicago, IL",1646,11,8,1749,-30,,123,104,,,
20-03-2022,Envoy Air,"Mission/McAllen/Edinburg, TX",1225,15,5,1354,-14,,89,69,,,
15-12-2020,PSA Airlines Inc.,"Valparaiso, FL",1123,21,6,1210,-10,,107,80,,,
9/7/2022,JetBlue Airways,"Tampa, FL",1921,26,7,2221,110,,180,147,110,0,0
4/2/2019,Republic Airline,"Washington, DC",856,30,15,1027,-3,,91,46,,,
5/3/2022,American Airlines Inc.,"Norfolk, VA",1816,13,4,1921,-15,,65,48,,,
19-06-2023,United Air Lines Inc.,"Chicago, IL",1344,16,13,1500,22,,136,107,22,0,0
11/4/2021,Horizon Air,"Austin, TX",1907,13,14,2356,-2,,169,142,,,
28-06-2023,American Airlines Inc.,"Charlotte, NC",1354,20,11,2153,29,,299,268,1,0,28
12/9/2021,PSA Airlines Inc.,"Charlotte, NC",1245,17,23,1526,-2,,101,61,,,
4/1/2021,Southwest Airlines Co.,"Miami, FL",1036,7,11,1318,-12,,162,144,,,
13-10-2020,Southwest Airlines Co.,"Chicago, IL",637,9,4,805,-15,,148,135,,,
2/9/2019,Southwest Airlines Co.,"San Diego, CA",926,13,6,1049,-1,,83,64,,,
10/6/2022,Southwest Airlines Co.,"Los Angeles, CA",1413,12,4,1520,10,,67,51,,,
23-11-2021,Delta Air Lines Inc.,"Tampa, FL",1255,10,3,1516,-29,,141,128,,,
19-03-2021,SkyWest Airlines Inc.,"Los Angeles, CA",1649,52,9,1832,28,,163,102,0,0,28
5/9/2021,Southwest Airlines Co.,"Kona, HI",2019,13,3,2102,-13,,43,27,,,
30-03-2020,Delta Air Lines Inc.,"Atlanta, GA",1753,7,5,1933,-28,,100,88,,,
13-07-2020,American Airlines Inc.,"Philadelphia, PA",1519,13,4,1717,-17,,118,101,,,
2/3/2022,Mesa Airlines Inc.,"Phoenix, AZ",622,10,4,708,-15,,106,92,,,
9/2/2023,Southwest Airlines Co.,"Pittsburgh, PA",2217,13,3,2310,-20,,53,37,,,
7/3/2019,Delta Air Lines Inc.,"Dallas/Fort Worth, TX",1227,12,8,1343,-1,,136,116,,,
2/2/2019,Allegiant Air,"St. Petersburg, FL",1018,15,4,1248,-7,,150,131,,,
29-05-2022,SkyWest Airlines Inc.,"Omaha, NE",928,14,3,1230,-15,,122,105,,,
22-07-2021,Delta Air Lines Inc.,"Orlando, FL",1034,14,18,1839,-3,,305,273,,,
10/2/2020,Southwest Airlines Co.,"Burbank, CA",1721,14,2,1829,-16,,68,52,,,
23-07-2019,Southwest Airlines Co.,"Chicago, IL",1737,30,2,1925,35,,168,136,10,0,22
10/6/2019,Alaska Airlines Inc.,"Denver, CO",1543,29,6,1920,-10,,157,122,,,
13-09-2022,American Airlines Inc.,"Chicago, IL",1232,12,14,1343,95,,131,105,0,0,95
2/7/2023,SkyWest Airlines Inc.,"Washington, DC",1457,18,9,1608,-19,,71,44,,,
15-08-2022,PSA Airlines Inc.,"Washington, DC",1724,10,6,1830,-14,,66,50,,,
27-10-2022,SkyWest Airlines Inc.,"Cedar Rapids/Iowa City, IA",1353,20,4,1648,9,,115,91,,,
14-02-2020,SkyWest Airlines Inc.,"Palm Springs, CA",2109,16,3,2106,-19,,57,38,,,
2/5/2023,Southwest Airlines Co.,"Seattle, WA",1209,11,6,1330,-25,,141,124,,,
3/2/2019,Allegiant Air,"Bellingham, WA",1255,19,6,1530,33,,215,190,0,15,0
